CityState,city,state,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,lat,lng
"CASTLE ROCK, CO",CASTLE ROCK,CO,72273,66922,707,287,1353,6415,108,5227,810,4113,16691,6253,1159,803,3253,38383,1730,2713,721,37.6,36.66666667,38.2,105657.3333,46952.0,1338.0,369400.0,39.36197267,-104.862205
"PALM BEACH GARDENS, FL",PALM BEACH GARDENS,FL,72256,62804,4073,115,3134,8190,647,10405,1241,5002,14493,6081,2737,1183,4919,37004,1979,1280,350,48.35,47.35,49.25,70016.0,48167.5,1400.5,293650.0,26.8591875,-80.126531
"STATESVILLE, NC",STATESVILLE,NC,72211,53596,14010,361,1027,6241,865,12933,2830,4724,5496,2430,317,183,13637,35821,4152,622,139,39.35,38.4,40.25,42273.5,20843.0,696.5,126850.0,35.803833,-80.9078645
"BESSEMER, AL",BESSEMER,AL,72156,35278,33004,166,451,2477,301,14200,3071,4291,5460,2086,336,191,14230,31056,3400,779,224,39.93333333,37.63333333,42.3,44196.0,21207.66667,775.0,114900.0,33.397702,-87.00382033
"TRAVERSE CITY, MI",TRAVERSE CITY,MI,72100,68977,492,688,546,1881,261,11369,1102,5614,10554,5334,1566,650,7821,37660,2499,1112,326,43.5,41.55,45.25,53146.0,29954.0,859.0,181300.0,44.7380085,-85.6307065
"SUWANEE, GA",SUWANEE,GA,71960,45968,5987,172,17115,5269,210,5774,640,3414,16289,6619,1166,1072,3719,35983,1759,2903,1074,37.1,35.9,37.8,101390.0,38113.0,1390.0,272100.0,34.062971,-84.09077
"NORTH LITTLE ROCK, AR",NORTH LITTLE ROCK,AR,71949,39189,29685,352,477,5163,707,12559,2146,3276,7728,2737,809,292,17557,33588,3107,745,280,36.6,34.65,38.2,38620.0,21140.75,730.25,102325.0,34.8019,-92.2538796
"PANORAMA CITY, CA",PANORAMA CITY,CA,71894,35643,1747,275,10883,52672,1752,9973,724,1808,5915,862,242,61,20898,35791,4724,388,122,30.8,29.7,32.2,37190.0,14435.0,1079.0,302000.0,34.222506,-118.444689
"SPRING VALLEY, CA",SPRING VALLEY,CA,71865,48858,8258,304,5761,30821,910,9739,1244,3984,6389,2290,381,264,9795,36173,4193,1205,412,34.2,32.8,35.25,61404.5,24525.0,1419.5,346050.0,32.7251955,-116.9672055
"TULARE, CA",TULARE,CA,71853,59109,2360,953,1539,42166,1859,10340,1425,2890,3508,846,239,90,16028,30543,2996,440,145,29.9,29.3,30.4,45890.0,18718.0,896.0,159300.0,36.178091,-119.370752
"WINCHESTER, VA",WINCHESTER,VA,71851,62816,4466,80,1277,7975,479,12220,2755,3887,8241,3877,949,695,7116,36880,2181,1193,351,39.73333333,37.83333333,42.1,60156.66667,29677.0,1026.0,220500.0,39.19602367,-78.22382767
"SHAWNEE, KS",SHAWNEE,KS,71846,62384,3935,391,1743,5144,307,8151,1341,4236,13800,5504,1069,703,4908,39346,1732,2129,794,38.64,37.84,39.44,83114.2,36233.2,992.8,223720.0,39.0189254,-94.7815736
"HAMMOND, IN",HAMMOND,IN,71833,34684,16953,336,719,26155,864,13577,2703,2891,4008,1496,193,172,18249,33261,4299,527,96,32.575,31.2,33.875,37208.25,17017.25,824.25,81800.0,41.623038,-87.491233
"MILPITAS, CA",MILPITAS,CA,71767,14245,1635,275,46263,11844,1575,7579,848,4498,13891,6325,689,921,5723,38201,3197,5975,1652,37.0,36.7,37.5,100148.0,35333.0,1864.0,583800.0,37.444349,-121.868859
"PAWTUCKET, RI",PAWTUCKET,RI,71597,46012,12836,199,1115,15767,1143,12629,2843,3784,5686,2140,473,447,14564,38594,4709,739,356,36.9,35.55,38.2,45326.5,22573.5,864.5,170200.0,41.8745825,-71.370906
"MOORESVILLE, NC",MOORESVILLE,NC,71263,62476,4301,336,2619,3774,218,8683,1430,5132,12391,3948,1072,365,6238,37266,2945,2057,424,39.05,36.35,41.0,67829.5,35218.5,918.5,257350.0,35.5758025,-80.8353995
"LYNWOOD, CA",LYNWOOD,CA,71163,33474,6293,401,628,62882,1926,9623,973,1599,1788,469,113,45,17335,31435,3810,225,0,28.6,27.4,29.6,43231.0,12980.0,1054.0,289300.0,33.923533,-118.200705
"LAYTON, UT",LAYTON,UT,71036,61059,1144,406,1905,8934,107,7403,1051,4742,9166,2936,430,179,6644,35501,1638,1928,322,31.25,29.9,32.25,75893.5,28359.5,1057.5,215650.0,41.081129,-111.9546575
"CENTREVILLE, VA",CENTREVILLE,VA,71015,38167,5047,84,21150,8850,581,6458,806,2130,16200,8568,898,921,3429,41925,1907,4699,1790,34.95,34.2,35.55,101122.5,42838.5,1689.5,397300.0,38.83373,-77.469804
"CHERRY HILL, NJ",CHERRY HILL,NJ,71003,52571,4702,113,9625,4934,422,8718,800,3020,15152,7266,3147,1344,3628,38764,2872,2033,502,41.8,39.76666667,43.5,91715.0,42707.33333,1335.666667,258266.6667,39.906927,-74.99998933
"CRANSTON, RI",CRANSTON,RI,70947,57366,3488,486,4404,8767,888,13913,2435,4457,9189,3772,974,322,7386,37181,3433,941,380,40.4,39.06666667,42.3,68500.33333,31373.0,1002.0,240833.3333,41.770266,-71.47229333
"WHITE PLAINS, NY",WHITE PLAINS,NY,70924,41352,12346,726,5065,21390,715,8066,762,3227,12561,8340,3195,1293,7261,40434,2836,1255,641,39.48,37.6,40.96,93800.8,48639.4,1572.6,472440.0,41.0315036,-73.7753394
"WEST LAFAYETTE, IN",WEST LAFAYETTE,IN,70917,55554,1721,78,11481,3204,210,4103,479,1437,7213,4965,634,3266,20166,32380,1839,1909,747,22.6,22.5,22.8,39022.0,21020.0,874.0,173000.0,40.452026,-86.952349
"UTICA, NY",UTICA,NY,70880,49226,9685,212,6275,7149,1392,11479,2296,5094,5218,2530,375,380,19632,31992,3589,743,178,35.55,34.0,37.15,33642.5,19964.5,668.0,95450.0,43.1112735,-75.19027
"BUCKEYE, AZ",BUCKEYE,AZ,70828,55725,5093,2517,779,24417,1027,10201,2856,3817,4975,1329,190,169,10099,28987,2127,884,138,35.2,34.5,36.05,63154.5,23801.0,1266.5,174050.0,33.410779,-112.6458915
"NOBLESVILLE, IN",NOBLESVILLE,IN,70825,64388,2876,68,1313,3015,300,8643,1463,4020,12729,4289,853,468,4643,38827,1650,2001,400,34.75,33.5,35.95,70925.5,32853.0,891.0,176000.0,40.062945,-85.985975
"COLUMBUS, IN",COLUMBUS,IN,70742,60841,1488,214,3910,4679,439,13613,2409,4097,9016,4796,575,487,8870,36858,2040,3062,663,38.45,37.3,39.8,57030.0,29314.5,801.5,139300.0,39.194638,-85.9126795
"HARRISONBURG, VA",HARRISONBURG,VA,70741,60932,3974,65,2471,11277,510,8617,1536,2021,7466,3682,769,1199,16698,35316,2213,749,316,25.43333333,25.36666667,25.43333333,43353.0,15509.33333,843.0,212250.0,38.44399767,-78.868706
"PORT CHARLOTTE, FL",PORT CHARLOTTE,FL,70738,62609,4751,111,1336,5140,668,16578,3265,4722,6419,3060,651,264,9363,30696,3614,426,42,55.68,55.0,56.28,45409.6,25800.2,929.2,146200.0,26.9829324,-82.1606164
"FOREST HILLS, NY",FOREST HILLS,NY,70723,44384,2415,213,18697,9295,788,8128,760,3772,16460,9991,3262,1839,5961,38147,2188,2369,1062,41.9,40.5,43.3,72414.0,44879.0,1566.0,360100.0,40.720934,-73.846151
"TROY, NY",TROY,NY,70719,55557,8249,101,2533,4767,420,10752,2380,6010,7104,3754,666,669,13102,37379,3505,1663,528,35.93333333,32.63333333,38.5,48203.33333,25214.0,838.6666667,144000.0,42.76538567,-73.64099833
"PASSAIC, NJ",PASSAIC,NJ,70618,33675,7536,953,2371,50663,1039,13281,855,1366,3689,1385,435,209,22112,28875,2716,526,226,29.7,27.8,31.2,31832.0,14956.0,1092.0,302200.0,40.856413,-74.12694
"MECHANICSBURG, PA",MECHANICSBURG,PA,70531,63623,1772,60,3240,1965,188,13469,988,4089,13323,6007,1340,538,3431,38596,1770,2501,769,43.65,42.15,45.45,71164.5,38314.5,1005.5,215850.0,40.215454,-77.0159835
"FRAMINGHAM, MA",FRAMINGHAM,MA,70522,52260,5198,200,5694,10927,511,10452,967,2456,13749,6725,1186,1135,7777,40778,2430,2540,937,38.8,38.0,39.3,71707.5,35021.5,1226.0,329700.0,42.300983,-71.4397105
"DOVER, DE",DOVER,DE,70353,39291,22960,469,2362,5666,616,11306,1901,3450,6913,3447,560,698,10820,33635,2792,655,326,33.75,30.55,36.7,50931.0,23630.5,1014.0,188250.0,39.1764195,-75.530523
"MADISON, AL",MADISON,AL,70191,50360,13345,499,3430,2851,299,6256,997,3999,15589,6958,909,927,5048,37926,2517,5503,1501,37.9,36.06666667,39.26666667,84076.33333,36923.33333,927.0,194600.0,34.71311167,-86.76999
"STUART, FL",STUART,FL,70186,60759,4142,175,719,9578,427,12841,2163,5491,9521,3631,1159,622,8755,31908,3313,981,211,53.3,51.7,54.23333333,45538.0,35982.33333,965.3333333,157300.0,27.14980067,-80.23905367
"AIKEN, SC",AIKEN,SC,70106,47674,19292,161,797,2232,463,11456,2072,3491,9633,4934,898,920,10013,32270,2802,1881,645,43.5,42.63333333,44.1,52874.66667,27581.66667,724.3333333,138800.0,33.575638,-81.68797733
"ROCKY MOUNT, NC",ROCKY MOUNT,NC,70032,28570,37922,305,639,2340,767,13678,2351,3822,6317,2099,407,268,16007,33363,4858,530,353,39.63333333,37.63333333,40.96666667,37792.66667,21846.66667,710.6666667,117100.0,35.935214,-77.80818233
"SALISBURY, MD",SALISBURY,MD,69975,44753,19890,112,2356,3936,323,11061,1161,2650,7367,4040,890,848,11798,35800,3250,766,341,34.86666667,33.2,44.03333333,49702.5,21527.66667,963.5,176700.0,38.347051,-75.58479267
"YORBA LINDA, CA",YORBA LINDA,CA,69857,52382,769,137,12194,11849,222,5473,440,4284,15485,6474,1863,858,2580,37013,2540,1880,583,42.45,41.3,43.4,119618.5,48379.0,1756.5,712950.0,33.8909265,-117.76329
"PARKVILLE, MD",PARKVILLE,MD,69764,44776,19040,76,3723,2443,587,14015,1608,4114,9066,4450,578,633,6942,38673,2601,1514,587,40.2,39.2,40.9,57788.0,30317.0,1152.0,209000.0,39.393417,-76.534228
"HUNTINGTON STATION, NY",HUNTINGTON STATION,NY,69761,50327,4788,67,5492,15588,1006,9355,778,3737,10665,6076,2380,781,6345,36146,2581,1157,302,39.8,37.6,41.0,99414.0,41184.0,1615.0,461300.0,40.814268,-73.362276
"SANFORD, NC",SANFORD,NC,69745,48726,13136,376,938,12046,798,9971,1949,4758,6999,2390,274,248,11286,33731,3338,864,246,36.05,34.9,37.5,48977.0,22728.5,792.5,144850.0,35.449556,-79.166334
"WATERLOO, IA",WATERLOO,IA,69745,54466,10352,207,1226,4034,435,13667,2581,4840,7000,1993,612,288,11697,36148,3136,915,174,36.4,34.9,38.4,42576.66667,22724.0,669.6666667,103966.6667,42.47593233,-92.31333367
"WOODLAND HILLS, CA",WOODLAND HILLS,CA,69678,51394,3665,404,7659,8362,332,7593,517,4040,16903,6248,2074,1414,5893,36940,2632,2560,624,41.7,40.2,43.25,86456.5,46513.5,1848.0,624300.0,34.171989,-118.594994
"QUEENS VILLAGE, NY",QUEENS VILLAGE,NY,69674,12119,30749,254,14142,11363,1088,13034,2732,4939,7992,3009,544,286,7514,37169,4371,630,274,40.46666667,39.3,41.56666667,67280.66667,25617.0,1327.666667,419733.3333,40.720562,-73.74218633
"JEFFERSON CITY, MO",JEFFERSON CITY,MO,69670,56981,8895,318,842,2003,220,11349,2801,3699,10333,3770,893,448,8398,34366,1657,1572,624,37.2,36.25,38.4,52739.5,25535.0,603.5,149600.0,38.5348245,-92.206163
"OSSEO, MN",OSSEO,MN,69570,60323,2331,100,4980,1840,189,7718,940,4830,15850,5929,1023,739,3782,40066,1688,2869,1064,38.3,38.1,38.6,93441.5,42991.0,1281.0,270100.0,45.1169245,-93.471214
"STATE COLLEGE, PA",STATE COLLEGE,PA,69276,56598,3340,244,7133,2379,134,4506,599,2041,10764,7606,911,3894,20524,36630,1903,3055,982,26.05,25.5,27.3,48641.0,28996.5,972.5,253950.0,40.790267,-77.870515
"KINGWOOD, TX",KINGWOOD,TX,69257,60459,2189,496,3016,7917,231,5524,935,3869,15290,6035,1190,493,4792,36297,1976,2303,457,39.7,37.85,41.15,97108.5,45524.0,1143.5,198400.0,30.049941,-95.1894825
"LA HABRA, CA",LA HABRA,CA,69151,43769,709,285,7173,39131,908,10239,990,3702,7892,2791,867,420,8426,35883,3373,1143,289,34.9,34.6,35.4,67797.0,29218.0,1330.0,448300.0,33.942708,-117.952483
"HENDERSONVILLE, NC",HENDERSONVILLE,NC,69056,61413,2594,130,630,9019,544,11060,2208,4310,9282,3886,715,690,11164,29510,1783,633,281,49.13333333,47.43333333,50.86666667,45993.66667,26807.33333,733.3333333,187300.0,35.331741,-82.473932
"JOHNSTOWN, PA",JOHNSTOWN,PA,68938,62712,3347,61,437,1104,393,19650,2086,4289,6575,2606,880,357,11930,31767,3027,985,234,45.55,43.7,47.55,36831.16667,21244.5,553.3333333,73533.33333,40.34058817,-78.90563517
"GRANTS PASS, OR",GRANTS PASS,OR,68862,64057,187,908,551,4816,362,12843,3007,4678,5304,2444,533,225,13040,27474,3227,681,284,47.55,45.85,49.35,38780.0,23244.5,854.0,218550.0,42.453411,-123.3759535
"FLOWER MOUND, TX",FLOWER MOUND,TX,68851,56740,2885,379,6557,6114,190,4477,674,3107,18075,6181,1119,431,1866,37875,1701,2752,784,39.5,39.15,39.7,129576.0,49198.0,1734.5,295550.0,33.0338,-97.092488
"UNION CITY, NJ",UNION CITY,NJ,68790,46471,3252,258,2439,58131,1254,13565,984,1858,5549,1748,425,221,17001,38158,4174,666,173,34.7,33.1,36.8,41197.0,19957.0,1114.0,290300.0,40.767383,-74.032328
"GLEN ALLEN, VA",GLEN ALLEN,VA,68712,47129,9240,481,9390,2697,479,7022,1029,2986,14234,6932,1950,1101,2502,37818,1552,2851,852,39.05,38.85,39.5,93284.5,41669.0,1269.0,305600.0,37.6791935,-77.555894
"ITHACA, NY",ITHACA,NY,68554,50900,3702,231,10043,3770,185,4558,601,2377,8188,7109,1321,4539,14626,32729,1939,2667,1016,22.95,22.6,23.3,48088.0,15199.0,1032.0,216000.0,42.4405835,-76.4872965
"STOCKBRIDGE, GA",STOCKBRIDGE,GA,68434,30780,30775,153,2354,5628,982,11142,1713,3893,7865,2568,493,241,11173,34343,3675,765,285,36.4,35.2,37.3,52213.0,22942.0,991.0,121300.0,33.567898,-84.193388
"PORT ORANGE, FL",PORT ORANGE,FL,68413,62385,2694,244,1486,3040,352,13612,2179,4859,8907,3430,660,720,8975,29974,1901,703,132,49.36666667,47.86666667,50.83333333,48566.66667,29454.0,1040.333333,154333.3333,29.11466167,-81.023152
"KENNER, LA",KENNER,LA,68304,45405,16210,145,2873,15419,684,13559,1866,2674,7723,2207,794,233,10382,35892,2681,857,306,37.7,35.4,40.5,43574.0,23660.5,904.5,158200.0,30.0094925,-90.2558145
"WEATHERFORD, TX",WEATHERFORD,TX,68278,62937,1280,836,574,9204,569,9894,2220,3663,8189,2854,405,441,7510,34080,2069,1585,466,39.65,39.25,39.725,64941.0,29857.75,865.25,154000.0,32.787557,-97.79186225
"VENICE, FL",VENICE,FL,68240,65554,394,167,1005,2532,302,16554,1675,4666,11513,5475,1380,1033,5420,23901,2018,444,193,63.86666667,63.2,64.4,52137.33333,35700.0,1100.666667,190500.0,27.07391833,-82.37645967
"APEX, NC",APEX,NC,68105,56005,5582,164,3298,6518,177,5207,684,4031,15465,6538,997,1043,3279,36931,2097,4057,1062,37.93333333,37.43333333,38.73333333,87127.0,37751.33333,1065.666667,289100.0,35.72180167,-78.89712067
"MOUNT VERNON, NY",MOUNT VERNON,NY,68000,15143,44573,270,1470,10305,730,12211,1305,3249,7601,4040,682,362,10316,36981,4665,476,275,38.66666667,36.76666667,40.43333333,60734.0,28879.66667,1254.666667,362866.6667,40.91283067,-73.82767333
"PUNTA GORDA, FL",PUNTA GORDA,FL,67906,60985,4467,183,571,4525,553,15031,2738,5012,8314,3231,1288,561,7325,23074,2327,279,165,57.3,55.86,58.66,47168.8,28950.2,848.2,159700.0,26.9245096,-81.9737088
"LEBANON, PA",LEBANON,PA,67869,55246,1799,103,720,13106,735,17941,2226,3013,5108,2474,708,253,10554,34747,2926,739,165,40.45,38.95,42.65,50911.0,24918.5,722.5,147800.0,40.3383375,-76.427225
"COOKEVILLE, TN",COOKEVILLE,TN,67706,63608,1729,100,776,3192,480,12933,3361,2001,6809,2296,613,760,16241,30834,2605,817,205,31.56666667,30.3,32.86666667,38805.5,15624.66667,645.5,149900.0,36.196072,-85.49055733
"LORAIN, OH",LORAIN,OH,67687,49639,10577,258,544,18497,731,13638,2690,3780,3171,1380,209,86,17839,31655,4506,554,116,38.03333333,36.33333333,39.33333333,36555.33333,19329.0,653.3333333,94100.0,41.440021,-82.17474033
"WEST BLOOMFIELD, MI",WEST BLOOMFIELD,MI,67559,51363,9261,154,5406,999,400,6402,351,3037,12787,8474,3860,1315,4606,35064,2449,2070,807,45.3,44.26666667,46.0,96724.33333,51739.0,1434.0,262400.0,42.56788333,-83.384555
"LOGAN, UT",LOGAN,UT,67350,58651,674,327,2410,8826,368,5040,761,2302,8153,2556,457,1135,13792,34729,2085,1681,465,24.25,24.55,23.95,43745.0,19900.5,697.5,189450.0,41.7466305,-111.821574
"BAY CITY, MI",BAY CITY,MI,67305,62874,1146,266,466,4107,605,14584,1837,5000,5720,2118,429,263,11255,31443,3228,1032,337,40.85,38.85,43.3,41466.0,23073.5,640.5,84750.0,43.578341,-83.900092
"VIENNA, VA",VIENNA,VA,67269,47811,2459,326,12358,6328,453,3211,317,1721,15723,12078,3317,2338,2790,36173,1469,4170,1608,40.16666667,39.66666667,40.53333333,148336.3333,62263.33333,1993.0,707833.3333,38.903779,-77.2822675
"BAY SHORE, NY",BAY SHORE,NY,67001,35908,12799,228,2304,26529,1044,12026,1366,3281,6326,2968,575,168,6021,36496,2823,549,222,34.6,33.0,35.8,79086.0,28362.0,1350.0,318300.0,40.722537,-73.252183
"AMES, IA",AMES,IA,66633,56235,2129,85,5977,2248,102,3545,404,2412,9427,4919,730,3015,16650,38931,2301,2695,907,22.675,22.3,23.4,42473.5,15252.0,781.0,191950.0,42.0319835,-93.641293
"GADSDEN, AL",GADSDEN,AL,66610,50179,13850,189,583,2539,920,11576,2873,3882,4974,1883,612,350,13547,28921,2427,485,91,41.54,39.48,43.44,43609.2,21643.6,632.4,103040.0,33.9992894,-85.9457088
"ORLAND PARK, IL",ORLAND PARK,IL,66608,59574,1603,110,3592,4670,198,10965,984,4145,11606,5097,1639,880,3054,36056,2475,1048,468,45.8,44.9,46.45,85114.0,41148.0,1486.0,281300.0,41.6135835,-87.8601265
"SOUTH SAN FRANCISCO, CA",SOUTH SAN FRANCISCO,CA,66431,24398,1577,147,25349,22848,1514,9423,1184,4337,11058,2271,635,358,5111,37024,2788,1713,463,38.9,37.3,40.8,81455.0,32796.0,1542.0,606800.0,37.65549,-122.422075
"ARCADIA, CA",ARCADIA,CA,66326,20537,1051,214,37947,9271,1168,7830,330,4139,14591,6125,1494,1167,6231,32921,2201,1913,914,44.0,43.3,44.3,77771.5,37287.5,1465.5,807050.0,34.132271,-118.037218
"NEW BERN, NC",NEW BERN,NC,66262,47640,13939,473,2045,3204,652,10033,2174,4964,7945,3210,700,543,9580,30921,3339,993,365,41.4,39.7,43.6,48977.5,26300.0,840.0,169000.0,35.1041695,-77.0522485
"CONWAY, SC",CONWAY,SC,66177,48811,14437,159,494,3070,449,13089,2116,4153,4755,2344,293,191,14642,31984,3147,525,183,38.6,36.15,41.2,39388.0,19287.0,750.5,137650.0,33.8162445,-79.0436345
"HANFORD, CA",HANFORD,CA,66108,51339,3112,491,2465,32312,976,8978,924,3629,5043,1293,670,155,13190,30040,3645,403,115,32.0,31.0,32.9,53070.0,23252.0,908.0,176600.0,36.29223,-119.622676
"WESLACO, TX",WESLACO,TX,65919,61137,326,231,474,59527,2253,7777,1739,1977,3800,1157,229,161,20594,27065,2941,212,64,30.4,28.4,32.0,33034.0,13649.0,619.0,71500.0,26.158622,-97.989155
"SAINT CLOUD, FL",SAINT CLOUD,FL,65759,56532,3835,34,1145,17715,837,13039,3004,4602,5728,1919,411,167,9074,31818,3319,707,298,39.15,38.1,39.8,51132.75,21753.75,1020.25,141475.0,28.21296075,-81.1840595
"MANSFIELD, TX",MANSFIELD,TX,65707,47851,9441,147,3407,9728,186,7494,1142,3343,12016,3731,539,510,4081,34905,2028,1573,385,36.6,35.5,37.6,88507.0,36271.0,1160.0,192400.0,32.57074,-97.144837
"PORTLAND, ME",PORTLAND,ME,65563,55806,5138,75,2024,2065,431,7903,2056,3647,13442,5768,1819,913,12753,38912,2625,1436,546,35.975,35.15,36.625,49049.75,29103.25,958.6666667,263400.0,43.66220775,-70.25382275
"CORVALLIS, OR",CORVALLIS,OR,65558,56065,633,432,5110,4789,154,3735,1065,2402,11638,5847,1253,2719,15920,33386,2773,2465,1058,27.23333333,25.9,28.76666667,45742.5,20545.0,871.5,275650.0,44.56022333,-123.277942
"MERIDIAN, MS",MERIDIAN,MS,65428,34117,29145,125,621,1544,625,10405,2704,4675,5395,1886,532,270,15277,30150,2743,510,168,33.85,32.8,34.9,37497.66667,19356.0,692.0,96233.33333,32.405118,-88.676838
"BAYONNE, NJ",BAYONNE,NJ,65378,46266,7095,189,5822,15375,848,14874,1064,2052,9880,3110,689,256,9652,33070,2351,1164,384,38.6,38.1,39.1,54413.0,28346.0,1137.0,318300.0,40.662338,-74.110275
"BELLEVUE, NE",BELLEVUE,NE,65351,54807,4283,492,1457,8604,253,8168,1419,4056,8480,3563,504,271,6614,35228,2053,1640,459,32.6,30.9,35.1,58188.0,26159.0,875.3333333,137000.0,41.13918933,-95.932073
"TINLEY PARK, IL",TINLEY PARK,IL,65270,56619,2735,111,2415,6192,221,11265,1118,3640,10367,4135,491,310,5638,36214,2276,1048,346,38.95,36.55,41.4,79217.0,33210.0,1020.5,231150.0,41.5674365,-87.811833
"LAGUNA NIGUEL, CA",LAGUNA NIGUEL,CA,65238,50624,1182,523,5539,11157,504,5021,548,4525,15149,6478,1967,1366,4640,36211,2491,2027,757,43.7,42.7,45.0,95004.0,51231.0,1839.0,685700.0,33.528868,-117.701175
"CALDWELL, ID",CALDWELL,ID,65175,59447,319,731,526,20902,985,9649,2735,2818,4543,1440,202,229,12265,29316,3152,489,122,32.9,31.8,33.95,43415.0,17497.5,701.5,131600.0,43.6856595,-116.7034155
"SAN CLEMENTE, CA",SAN CLEMENTE,CA,65147,53803,408,86,2437,12008,384,4928,475,4320,13907,4793,1575,824,5171,33594,1994,1280,308,41.9,41.8,42.0,105482.5,50286.5,1965.5,754800.0,33.4457405,-117.610142
"NORTH RICHLAND HILLS, TX",NORTH RICHLAND HILLS,TX,65101,54826,3239,512,2648,10760,215,8814,1585,3809,9847,2965,299,321,4859,36012,1996,1525,456,37.45,36.35,38.75,67575.5,32085.5,1061.0,153150.0,32.863106,-97.216513
"BRUNSWICK, GA",BRUNSWICK,GA,65079,39174,20651,188,675,4915,369,11777,2608,3400,4752,2424,440,208,13969,31888,3226,538,126,37.16666667,35.93333333,38.13333333,43412.33333,21693.33333,796.3333333,122800.0,31.23881525,-81.5276515
"MIDLAND, MI",MIDLAND,MI,65079,60176,1122,283,1895,1662,207,10431,1239,4589,9367,4667,828,1343,8156,32256,2656,2209,630,39.6,37.75,41.35,56577.5,31656.0,724.5,138100.0,43.63233433,-84.26917167
"NORTHRIDGE, CA",NORTHRIDGE,CA,64925,35840,4793,239,10309,22884,768,7401,632,3338,10226,3143,1240,570,9902,34233,3137,1002,468,30.13333333,29.1,31.43333333,61366.0,21748.0,1392.0,487650.0,34.24108633,-118.5313593
"BURLESON, TX",BURLESON,TX,64909,60754,1932,114,636,8006,335,9804,2732,3621,7415,2582,293,192,4589,33411,2103,1246,347,36.1,36.1,36.2,72605.0,30530.0,1100.0,146200.0,32.532677,-97.306547
"MANHATTAN, KS",MANHATTAN,KS,64882,54687,3278,332,3243,4364,156,4434,557,2333,8650,4519,969,2211,13713,36848,1772,1528,609,26.36666667,25.86666667,27.03333333,41734.33333,21744.33333,897.0,198950.0,39.20573,-96.599367
"HUNTSVILLE, TX",HUNTSVILLE,TX,64814,47453,14774,182,811,11789,408,8222,6555,2041,5758,1574,229,460,11501,22028,972,446,177,32.2,34.25,30.05,38048.5,15641.5,778.0,127550.0,30.72841633,-95.54837867
"LUFKIN, TX",LUFKIN,TX,64760,48873,11829,175,814,14311,706,9950,2246,2827,4587,1998,412,108,12830,30441,2681,386,36,35.4,33.6,36.9,44398.5,22798.5,797.5,90900.0,31.3212115,-94.733819
"JACKSON HEIGHTS, NY",JACKSON HEIGHTS,NY,64754,39399,1759,200,12869,38269,2003,11327,1117,3139,9269,3897,816,396,11792,35797,2288,948,344,39.0,38.1,40.2,50485.0,25805.0,1316.0,263800.0,40.75169,-73.883638
"EAST ORANGE, NJ",EAST ORANGE,NJ,64720,2380,57926,122,561,4514,598,14324,1410,3268,5008,1699,421,297,13387,34557,6157,477,206,37.15,34.95,38.95,37056.0,21655.5,998.5,211800.0,40.7639845,-74.212532
"WESLEY CHAPEL, FL",WESLEY CHAPEL,FL,64699,49172,7777,473,3801,12324,367,7614,1429,4586,9512,4473,426,417,4843,33451,2572,1485,326,34.76666667,33.13333333,36.1,74361.33333,28160.33333,1280.666667,171333.3333,28.24649233,-82.319771
"NIAGARA FALLS, NY",NIAGARA FALLS,NY,64668,48209,12121,822,959,1724,353,14344,3449,4485,4554,2916,235,192,14819,31703,3266,727,197,49.24,40.375,39.9,33403.0,19849.25,648.25,64725.0,43.099386,-79.0206408
"LA CROSSE, WI",LA CROSSE,WI,64620,58541,1242,420,2829,1402,341,8870,1069,5349,7598,2908,880,976,12426,37699,2176,1198,417,33.35,31.4,35.5,42923.5,24628.0,694.0,132550.0,43.8314795,-91.191232
"DECATUR, AL",DECATUR,AL,64551,47732,12629,419,533,7503,618,9859,2721,3352,7521,2499,722,267,12577,30896,2992,1266,302,39.25,38.2,40.75,44481.0,25430.0,603.5,130400.0,34.571734,-86.991139
"MECHANICSVILLE, VA",MECHANICSVILLE,VA,64503,57066,4781,69,1015,1712,84,10227,1265,3294,11249,4251,780,496,3152,35258,1357,1667,667,41.4,40.35,42.4,85078.0,35605.5,1153.0,257300.0,37.6446035,-77.289854
"VALRICO, FL",VALRICO,FL,64374,51402,5834,283,2315,11387,264,9599,1604,4832,10039,3934,754,312,4945,32917,2236,1502,378,40.0,38.35,41.85,77385.5,32008.0,1396.5,189700.0,27.9140745,-82.2341745
"PHENIX CITY, AL",PHENIX CITY,AL,64356,38622,22531,180,547,2739,431,10542,2155,3847,4494,2504,662,132,11945,30734,3137,566,244,33.5,31.16666667,35.43333333,43435.0,20778.0,789.6666667,121400.0,32.46620067,-85.069698
"VALLEY STREAM, NY",VALLEY STREAM,NY,64344,28615,16979,19,8636,14833,475,10196,1103,3795,10203,4510,1395,355,4187,35363,3333,1092,338,38.65,36.2,41.05,95661.5,36011.0,1557.0,396150.0,40.662964,-73.7087395
"NEWPORT BEACH, CA",NEWPORT BEACH,CA,64328,55481,350,140,4263,5567,103,3621,423,3030,18793,6923,3190,1002,4911,34305,2638,1407,302,47.625,46.3,49.025,96598.5,81604.25,1884.5,1476475.0,33.616226,-117.9035263
